~Version Information
 VERS.                2.00:   CWLS log ASCII Standard -VERSION 2.00
 WRAP.                  NO:   One line per frame
~Well Information Block
#MNEM.UNIT                 Well Data                         Data Description
#---------  -----------------------------------------  -------------------------------
 STRT.M                                      17.9832:  Starting Depth
 STOP.M                                    1699.5648:  Ending Depth
 STEP.M                                       0.0762:  Level Spacing
 NULL.                                     -999.2500:  Absent Value
 COMP.      GNPOC                                   :  Company
 WELL.      HARAZ-5                                 :  Well
 FLD .      BLOCK 4                                 :  Field
 LOC .                                              :  Location
 CNTY.      RIG 115                                 :  County
 STAT.      SUDAN                                   :  State
 SRVC.      CNLC                                    :  Service Company
 DATE.      16-DEC-2012                             :  Log Date
 API .                                              :  API Number
 UWI .                                              :  Unique Well ID
~Curve Information Block
#MNEM.UNIT           API Codes    Curve Description
#---------        -------------   -------------------------------
 DEPT    .M       99 995 99  1:   Depth
 BIT     .IN      70 282  1  1:   Bit size
 BVOL    .M3      70 995 99  1:   Total Borehole Volume
 CAL     .US/F    70 280 99  1:   Caliper
 CNC     .PU      42 995 99  1:   Borehole size Corr-d Compensated Neutron Porosity
 CVOL    .M3      70 995 99  1:   Cement Volume
 DT      .US/F    99 995 99  1:   Interval transit time over 24 inch interval
 GR      .GAPI    30 310  1  1:   Gamma Ray counts
 PE      .B/E     45 358  1  1:   Photo Electric Cross Section
 RD      .OHMM     1 220 10  1:   Logarithmic Resistivity from ED, ID
 RMSL    .OHMM    99 995 99  1:   Resistivity from MSL
 RS      .OHMM     1 220  9  1:   Shallow resistivity
 SPBR    .MV      99 995 99  1:   SP from bridle electrode processed at surface
 SPD     .M/MN    99 636 99  1:   Speed
 TTEN    .LBF     99 635 99  1:   Total Tension
 ZCOR    .G/C3    45 356 99  1:   ZDL Correction
 ZDEN    .G/C3    45 350  1  1:   ZDL Bulk Density
~Parameter Information Block
#MNEM.UNIT             Parameter Value                     Parameter Description
#---------  -----------------------------------------  -------------------------------
 HIDE.      SLAM COMBINED FORMAT                    :  Header Identifer
 HID1.      HARAZ-5                                 :  Header Identifer
 HID2.      RUN ON DEC. 16, 2012                    :  Header Identifer
 CLAB.      RIG NAME                                :  County Label (Comments)
 SLAB.      COUNTRY                                 :  State Label (Comments)
 FL1 .      N: 10 31' 35.78141"                     :  Field Location 1
 FL2 .      E: 28 05' 10.36579"                     :  Field Location 2
 OS2 .      FMT                                     :  Other Services Line 2
 OS3 .      6-ARM CALIPER&DEV                       :  Other Services Line 3
 PDAT.      GL                                      :  Permanent Datum
 EPD .M     419.888                                 :  Elevation Of Perm. Datum
