DEPTH,BIT,BVOL,CAL,CNCF,CVOL,DT,GR,PE,RD,RMSL,RS,SPBD,SPD,TTEN,ZCOR,ZDEN
74.447,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,65.05,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
74.524,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,66.014,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
74.6,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,66.254,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
74.676,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,65.483,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
74.752,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,64.244,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
74.828,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,62.328,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
74.905,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,60.533,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
74.981,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,60.79,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
75.057,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,64.282,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
75.133,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,69.437,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
75.209,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,73.369,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
75.286,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,75.061,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
75.362,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,74.828,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
