 DEPTH      GR        spd       bit       CAL       SPBD      bvol      cvol      tten      rd        rs        rmsl      dt24      CNCF      zden      pe        zcor     
   -9.296  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -9.144  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -8.992  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -8.839  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -8.687  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -8.534  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -8.382  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -8.230  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -8.077  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -7.925  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -7.772  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -7.620  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -7.468  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -7.315  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -7.163  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -7.010  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -6.858  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -6.706  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -6.553  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -6.401  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -6.248  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -6.096  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -5.944  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -5.791  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -5.639  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -5.486  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -5.334  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -5.182  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -5.029  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -4.877  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -4.724  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -4.572  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -4.420  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -4.267  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -4.115  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -3.962  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -3.810  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -3.658  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -3.505  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -3.353  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -3.200  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -3.048  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -2.896  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -2.743  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -2.591  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -2.438  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -2.286  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -2.134  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -1.981  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -1.829  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -1.676  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -1.524  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -1.372  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -1.219  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -1.067  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -0.914  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -0.762  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -0.610  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -0.457  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -0.305  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   -0.152  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    0.000  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    0.152  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    0.305  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    0.457  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    0.610  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    0.762  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    0.914  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    1.067  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    1.219  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    1.372  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    1.524   390.247  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    1.676   353.048  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
